,all,all2022,all_fixed2022,autumn,autumn2022,autumn_fixed2022,lat,lon,spring,spring2022,spring_fixed2022,summer,summer2022,summer_fixed2022,spring_res,autumn_res,summer_res,all_res
227,69.49398309,51.73,74.13150729,263.8763706,296,265.3501329,46.143173,-0.396042,99.13445099,116,98.56648252,0.509105449,0.6511,0.516531061,0.567968469,-1.473762267,-0.007425612,-4.6375242
366,69.49398309,55.76,74.13150729,263.8763706,263,265.3501329,48.645,-0.458333,109.0006683,112,107.3302009,0.534963408,0.6918,0.55423819,1.670467484,-1.473762267,-0.019274783,-4.6375242
0,74.47040811,33.65,79.14306001,291.9204062,268,294.0982574,39.47805555,-0.36833333,89.36145004,107,88.27916471,0.313325395,0.2969,0.313677404,1.08228533,-2.177851274,-0.000352009,-4.672651893
216,74.47040811,69.59,79.14306001,295.2162674,332,297.2815543,45.93766834,13.91156335,111.9741094,128,108.6304604,0.459658938,0.7158,0.506831789,3.343648937,-2.065286983,-0.047172851,-4.672651893
24,71.06791855,61.51,75.74759373,284.8960082,265,286.3738335,41.694342,24.738078,104.5089276,131,102.792595,0.444034798,0.4131,0.464726364,1.716332581,-1.477825252,-0.020691566,-4.679675178
59,74.61765627,62.87,79.35114259,292.1538087,283,293.6178109,43.09625,-0.040497,88.61550012,108,86.74997513,0.370995963,0.3422,0.383233282,1.865524988,-1.464002168,-0.012237319,-4.733486326
77,74.61765627,54.79,79.35114259,265.5699066,300,266.8492259,43.310833,-0.391111,92.3622443,102,90.38625772,0.37557234,0.422,0.387809659,1.975986575,-1.279319315,-0.012237319,-4.733486326
291,72.06791855,52.89,76.84919653,294.3641646,336,295.172268,47.36027778,13.63944444,121.9078504,146,116.2785766,0.420476346,0.4318,0.452472069,5.629273856,-0.808103382,-0.031995723,-4.781277984
294,80.47119769,36.85,85.30288565,293.7516829,300,294.4575024,47.4067,9.39438,118.6424457,112,113.1796047,0.472071746,0.6191,0.511990169,5.46284105,-0.705819469,-0.039918423,-4.831687962
204,80.47119769,45.86,85.30288565,289.2793555,294,289.9306616,45.84083,9.34889,101.3707063,120,95.11330763,0.284448941,0.1597,0.294886956,6.2573987,-0.651306047,-0.010438015,-4.831687962
206,73.47040811,33.1,78.37990357,270.5619577,302,271.0198386,45.849444,9.395833,99.34007494,109,93.77533314,0.284448941,0.1701,0.294886956,5.564741799,-0.457880903,-0.010438015,-4.909495452
153,69.21811123,92.14,74.15720786,284.310145,262,284.5244378,45.1758,7.5602,103.0865325,116,96.92259555,0.516186494,0.5598,0.518612815,6.163936915,-0.214292831,-0.002426322,-4.939096632
246,69.21811123,71.51,74.15720786,288.6384338,291,288.8177152,46.58967,11.43317,114.9482336,128,110.8707099,0.147231047,0.1245,0.168729464,4.077523671,-0.179281393,-0.021498417,-4.939096632
517,69.21811123,63.83,74.15720786,256.0777225,260,256.1903898,60.13922,-1.185319,143.9961221,118,143.2206103,0.44386708,0.4179,0.457606686,0.775511788,-0.112667306,-0.013739606,-4.939096632
497,73.47040811,63.04,78.50416458,287.1887623,294,293.975034,54.569297,-1.220874,109.093548,112,107.3087623,0.24383937,0.2117,0.262118024,1.784785653,-6.786271667,-0.018278655,-5.03375647
212,73.47040811,60.62,78.50416458,284.9204062,281,291.6970574,45.913056,9.496944,121.6111619,124,116.0213778,0.060611875,0.1979,0.110888875,5.589784036,-6.776651221,-0.050277,-5.03375647
462,73.47040811,24.98,78.50530084,249.6776363,252,256.1552003,51.49633,-0.460861,106.9043684,91,106.699512,0.267602322,0.3399,0.284571984,0.204856331,-6.477563934,-0.016969662,-5.034892727
486,80.27634861,35.34,85.34820346,266.0708148,282,272.4998183,53.74878,-0.341222,118.9099463,101,117.1251606,0.245613782,0.1821,0.263892437,1.784785653,-6.429003503,-0.018278655,-5.071854848
518,72.16118008,72.86,77.31321146,265.8636924,298,272.2926959,60.18739,24.9506,141.6923848,147,139.9898093,0.345922878,0.1879,0.371084626,1.702575511,-6.429003503,-0.025161748,-5.15203138
519,66.53076124,69.97,71.77324099,261.0415084,276,267.4513222,60.22393,25.10244,139.6923848,140,139.5697386,0.345922878,0.3904,0.371084626,0.12264619,-6.409813859,-0.025161748,-5.242479753
515,69.58248248,71.32,74.82584787,291.2549377,189,297.6535876,59.41416931,24.64945793,139.6805883,123,137.9780128,0.33723181,0.2783,0.371084626,1.702575511,-6.398649849,-0.033852816,-5.243365384
491,69.4568811,72.19,74.81219343,265.9268139,275,272.2926959,54.09249878,24.28972816,129.0119417,172,126.6880356,0.414204572,0.4429,0.425550275,2.323906099,-6.365882027,-0.011345703,-5.355312335
131,79.32454157,66.27,84.73084758,288.4477781,263,294.7897028,44.86139,-0.579444,91.65487199,88,90.9647027,0.340551225,0.2912,0.352788544,0.690169281,-6.341924621,-0.012237319,-5.406306012
133,79.47119769,27.29,84.8775037,285.2786694,348,291.5565457,44.900276,-0.514722,91.65487199,63,90.9647027,0.340551225,0.3235,0.352788544,0.690169281,-6.277876223,-0.012237319,-5.406306012
266,70.10452003,60.12,75.51462973,260.4403684,244,266.6855804,47.054443,-0.886111,97.31307537,79,95.52040707,0.470075286,0.3413,0.478182409,1.792668296,-6.245212059,-0.008107123,-5.410109701
98,66.73561331,59.75,72.18154266,291.7127045,301,297.9548328,43.704723,-1.038611,90.7735596,100,88.98877395,0.374295783,0.4567,0.387996283,1.784785653,-6.242128249,-0.0137005,-5.445929351
403,67.28106559,69.13,72.73330198,283.4436721,283,289.6428902,49.15167,-0.352778,109.2122114,75,107.4274257,0.400467543,0.3279,0.407499792,1.784785653,-6.199218112,-0.007032249,-5.452236383
140,73.80450411,61.32,79.26795951,272.2879328,311,278.4571709,45.0069,7.5496,105.1036282,101,97.40856642,0.283783714,0.2874,0.301450012,7.695061769,-6.169238147,-0.017666299,-5.463455403
148,72.21357302,63.7,77.69581671,286.4705048,318,292.613825,45.1391,7.0501,100.1036282,95,93.86007962,0.283783714,0.3045,0.301450012,6.24354857,-6.14332022,-0.017666299,-5.482243693
494,74.30598322,18.49,79.84001861,280.3109279,303,286.3890102,54.334944,-0.80855,130.7430968,136,129.0009983,0.421319995,0.6065,0.438001391,1.74209854,-6.078082293,-0.016681396,-5.534035384
71,74.30598322,59.87,79.84001861,249.1052875,268,255.1403329,43.28414,20.802102,104.1195171,141,100.6597402,0.468394764,0.5105,0.505986186,3.459776844,-6.035045395,-0.037591422,-5.534035384
383,74.30598322,68.19,79.84001861,285.7364362,287,291.7682684,48.85731,7.314175,122.9816158,113,117.1890611,0.473873023,0.5339,0.513791446,5.792554662,-6.031832151,-0.039918423,-5.534035384
460,73.90348744,65.17,79.4846468,264.8437515,316,270.8386438,51.45309,-0.944067,110.0285803,77,108.2437946,0.284586094,0.3435,0.325079078,1.784785653,-5.994892337,-0.040492985,-5.581159358
396,80.27634861,30.24,86.08458542,283.2655498,184,289.2173682,49.04781723,18.00782776,121.3194282,119,115.5290123,0.519290288,0.7065,0.527304992,5.790415831,-5.951818395,-0.008014704,-5.808236802
513,69.06791855,55.27,74.88085715,269.8775743,280,275.8242044,59.37615967,28.17916679,140.0994588,134,138.492177,0.325875393,0.3346,0.341356097,1.607281832,-5.946630124,-0.015480704,-5.812938605
121,70.33600736,54.81,76.20752386,272.7116187,257,278.6339477,44.73473,9.36693,113.0069642,119,108.4805381,0.510611875,0.6579,0.560134284,4.526426146,-5.922328979,-0.049522409,-5.871516497
205,66.77382829,55.69,72.69504774,285.8886392,241,291.6970574,45.848333,11.569167,112.4823485,121,109.4080528,0.460079907,0.6476,0.507836053,3.07429566,-5.80841818,-0.047756146,-5.921219455
310,60.67526277,53.44,66.59674556,257.9455713,250,263.7418864,47.67027778,15.86027778,120.7637412,106,114.6193335,0.475178945,0.5793,0.503470799,6.144407687,-5.796315109,-0.028291854,-5.921482783
522,60.67526277,58.21,66.59674556,283.4313786,247,289.1461209,60.608299,15.6294,140.5933742,139,138.529804,0.276514475,0.3599,0.320992281,2.063570193,-5.714742321,-0.044477806,-5.921482783
219,60.67526277,57.26,66.59674556,256.5247116,276,262.2051757,46.06293,11.1262,101.7617147,107,96.68069703,0.361188654,0.2269,0.368592756,5.081017694,-5.680464146,-0.007404102,-5.921482783
225,78.57801423,29.46,84.55827096,269.6521954,306,275.3326596,46.13167,9.56639,107.4861583,93,97.61578856,0.360523984,0.2034,0.369899477,9.870369757,-5.680464146,-0.009375493,-5.980256728
316,78.35957452,68.16,84.33983125,260.5533242,298,266.1927793,47.809892,7.764528,122.8655721,110,118.1155484,0.474909478,0.6699,0.513187489,4.750023746,-5.639455141,-0.038278011,-5.980256728
321,69.43015188,75.99,75.46596865,260.5533242,245,266.1927793,47.913256,7.908035,121.8655721,123,116.1524517,0.474909478,0.5917,0.513187489,5.713120463,-5.639455141,-0.038278011,-6.035816774
268,69.43015188,68.43,75.46596865,291.7127045,262,297.3191519,47.0674,8.46333,118.3409719,111,115.4687601,0.499552598,0.6189,0.536959406,2.872211831,-5.606447352,-0.037406808,-6.035816774
463,69.40627049,64.56,75.47579176,247.5389115,288,253.0941457,51.584128,-0.125254,117.5740174,94,115.7892318,0.292204673,0.391,0.332697658,1.784785653,-5.5552342,-0.040492985,-6.069521274
399,79.25607505,53.08,85.33997997,278.7135933,273,284.1740169,49.11639,-1.084722,108.1537245,95,106.3689389,0.400467543,0.2712,0.407499792,1.784785653,-5.460423577,-0.007032249,-6.083904925
236,79.77217936,72.8,85.91934444,284.2956946,291,289.7135769,46.3148,8.2559,115.3325018,146,110.0201381,0.497231047,0.6419,0.53116186,5.312363697,-5.417882243,-0.033930814,-6.147165083
301,83.85228716,30.75,90.02908181,269.8775743,283,275.2693229,47.561944,18.960008,107.1748231,113,101.7869332,0.479531185,0.4071,0.482976419,5.387889972,-5.391748621,-0.003445234,-6.176794652
293,78.57801423,71,84.75791871,265.9268139,296,271.2634054,47.40555556,15.36083333,123.012796,138,117.5682914,0.466898538,0.416,0.498684952,5.444504543,-5.336591535,-0.031786414,-6.17990448
100,77.47119769,25.36,83.65990656,290.9094645,234,296.2231245,43.86889,10.45361,108.8247694,104,101.8298254,0.466751236,0.5768,0.502014985,6.994943998,-5.313659989,-0.03526375,-6.188708867
520,77.47119769,71.36,83.65990656,290.7287614,271,296.0066734,60.31439,24.68486,144.8657751,148,143.3108454,0.4306555,0.5506,0.444385775,1.554929677,-5.277912014,-0.013730276,-6.188708867
281,73.90796112,69.72,80.1525133,291.1865282,302,296.4644402,47.23461,6.076472,111.6450075,99,107.5522543,0.543464453,0.6283,0.583496161,4.092753175,-5.277912014,-0.040031708,-6.244552181
422,72.16118008,88.62,78.42059956,263.5619577,292,268.8335974,49.50260925,18.53856087,116.7718183,132,114.5821558,0.417762126,0.4496,0.432618636,2.189662537,-5.271639724,-0.01485651,-6.25941948
222,69.59321351,52.01,75.88913539,272.2005137,268,277.4124131,46.072224,5.820833,110.7793148,107,101.1610525,0.478750598,0.5743,0.521283026,9.618262258,-5.211899456,-0.042532429,-6.295921876
289,38.48748739,66.7,38.93249802,291.1865282,221,296.3829938,47.34806,15.882222,123.012796,124,116.4209323,0.466898538,0.5066,0.498684952,6.591863652,-5.196465638,-0.031786414,-0.445010635
377,38.48748739,59.89,38.93249802,290.7287614,194,295.925227,48.782852,20.987197,114.5720224,146,108.9102868,0.469794776,0.5634,0.488496131,5.661735593,-5.196465638,-0.018701355,-0.445010635
118,38.48748739,17.5,38.93249802,261.0415084,263,266.1927793,44.56468,9.18487,110.9269312,130,104.3505369,0.460079907,0.73,0.504392532,6.576394354,-5.151270964,-0.044312625,-0.445010635
173,38.48748739,91.78,38.93249802,279.0825975,292,284.2144386,45.463333,10.480833,100.3400749,107,94.84738503,0.36511361,0.321,0.372517713,5.492689909,-5.131841099,-0.007404102,-0.445010635
85,38.48748739,20.4,38.93249802,281.4235667,293,286.4928798,43.404011,21.947746,111.7858194,114,105.5069445,0.527799528,0.718,0.568083878,6.278874933,-5.069313061,-0.04028435,-0.445010635
397,38.42806052,60.66,38.87307115,290.7287614,323,295.7294849,49.06843567,13.61480141,121.3721162,127,115.4055269,0.422916681,0.4691,0.454912404,5.966589349,-5.000723546,-0.031995723,-0.445010635
265,40.64441296,40.91,41.13958128,264.8925953,224,266.8792645,47.0495,6.97915,111.9338948,112,107.490757,0.543286217,0.6392,0.584531174,4.443137791,-1.986669164,-0.041244957,-0.495168321
198,37.98392567,65.76,38.48081299,264.8925953,257,266.8792645,45.760833,11.736667,98.61563135,122,93.08724034,0.36511361,0.3037,0.372517713,5.52839101,-1.986669164,-0.007404102,-0.496887316
210,38.18628936,29.26,38.68317668,264.2061102,272,266.1927793,45.89147,10.84449,98.61563135,111,93.08724034,0.36511361,0.2788,0.372517713,5.52839101,-1.986669164,-0.007404102,-0.496887316
179,39.0773016,29.64,39.5826669,264.2061102,310,266.1927793,45.515278,10.219444,95.34007494,102,93.38833516,0.36511361,0.2904,0.372517713,1.951739776,-1.986669164,-0.007404102,-0.505365297
44,37.21899512,52.04,37.73568954,288.5975472,294,290.5382225,42.42212,12.109196,104.027472,87,98.56742298,0.349218564,0.2379,0.353592304,5.460049042,-1.940675218,-0.004373741,-0.516694425
102,39.90810362,35.86,40.43840783,286.4436721,286,288.3843473,43.91611,11.00694,98.88401341,126,93.75844244,0.401699927,0.382,0.395753741,5.125570974,-1.940675218,0.005946186,-0.530304205
249,38.37976666,58.57,38.91070497,280.5113483,264,282.4304595,46.65195,15.36778,113.5295267,103,109.1627626,0.49767875,0.5916,0.536110478,4.366764031,-1.919111188,-0.038431729,-0.530938307
514,40.75644447,34.48,41.28949128,280.3143171,336,282.2247942,59.40972519,27.27862167,142.2522429,141,142.0725466,0.446821648,0.5115,0.448073694,0.179696342,-1.910477074,-0.001252047,-0.533046806
209,40.36117939,52.05,40.8942262,288.1884397,223,290.0730989,45.890556,12.308056,104.6156313,93,94.7927681,0.366774458,0.287,0.373468646,9.822863247,-1.884659208,-0.006694188,-0.533046806
163,40.97563015,47.97,41.50867696,283.9977236,228,285.8633379,45.30278678,9.49528589,100.3400749,98,94.27038805,0.354448941,0.2883,0.361853043,6.069686884,-1.86561432,-0.007404102,-0.533046806
192,40.97563015,25.64,41.50867696,281.145072,278,283.0080522,45.655,10.20083,100.3400749,117,94.02233186,0.36511361,0.3533,0.372517713,6.317743074,-1.862980212,-0.007404102,-0.533046806
182,40.97563015,42.78,41.50867696,268.8229828,273,270.6780013,45.560556,11.539722,98.61563135,103,93.21047738,0.36511361,0.2799,0.372517713,5.40515397,-1.855018467,-0.007404102,-0.533046806
167,40.97563015,34.72,41.50867696,287.9850073,267,289.8260211,45.36722,9.705,95.34007494,80,93.38833516,0.354448941,0.4248,0.361853043,1.951739776,-1.841013853,-0.007404102,-0.533046806
178,40.58036507,34.61,41.11341187,277.0515548,296,278.8809555,45.499167,12.262222,99.61563135,105,94.28200844,0.396774458,0.4206,0.387080448,5.333622909,-1.829400709,0.009694009,-0.533046806
512,41.43061756,40.76,41.96366437,263.5934672,282,265.4109034,58.370556,26.734722,136.016934,128,134.053304,0.342326157,0.2928,0.355230125,1.963630047,-1.817436202,-0.012903969,-0.533046806
149,40.58036507,44.66,41.11341187,281.4543909,283,283.187134,45.148333,9.940278,99.97486961,124,94.17278502,0.353783714,0.2383,0.354543176,5.80208459,-1.7327431,-0.000759462,-0.533046806
180,40.58036507,35.41,41.11341187,267.2708643,243,268.9828144,45.54301186,13.71352366,104.6466936,127,97.36140278,0.367705145,0.2521,0.371033871,7.285290858,-1.711950109,-0.003328726,-0.533046806
156,30.16777823,26.56,30.70336381,267.8285975,285,269.3917999,45.183611,11.311389,99.60586186,98,93.62391771,0.361395387,0.2907,0.363926181,5.98194415,-1.563202389,-0.002530795,-0.535585586
159,61.60919999,78.47,62.06547812,287.7454138,234,289.3048602,45.226667,11.665833,99.60586186,107,93.62391771,0.361395387,0.2969,0.363926181,5.98194415,-1.559446471,-0.002530795,-0.456278129
114,39.27919397,54.5,39.74029311,287.7454138,273,289.3048602,44.48333,11.355,99.60586186,108,93.58756841,0.361395387,0.295,0.363926181,6.018293447,-1.559446471,-0.002530795,-0.461099142
116,39.27919397,28.28,39.74029311,281.6937668,249,283.2390618,44.516111,10.733889,98.60586186,108,93.1479697,0.361395387,0.2405,0.363926181,5.457892162,-1.545295033,-0.002530795,-0.461099142
128,39.27919397,41.06,39.74029311,279.5777505,267,281.0902983,44.825,11.649722,98.60586186,94,93.1479697,0.361395387,0.3708,0.363926181,5.457892162,-1.512547773,-0.002530795,-0.461099142
115,39.27919397,32.52,39.74029311,274.3258991,274,275.8242044,44.5,11.286111,94.60586186,102,92.4850694,0.361395387,0.3826,0.363926181,2.120792462,-1.498305269,-0.002530795,-0.461099142
119,39.27919397,33.88,39.74029311,287.7413003,319,289.2173682,44.65061,10.90633,99.60586186,106,94.48029089,0.381395387,0.3824,0.375897572,5.125570974,-1.476067864,0.005497815,-0.461099142
103,43.52946192,30.63,44.02051276,278.2942117,293,279.7624367,43.9275,12.224722,106.549686,113,97.12711892,0.473158261,0.5675,0.501732684,9.422567109,-1.468225059,-0.028574423,-0.491050846
111,42.76956471,30.23,43.26663597,288.6561671,284,290.121707,44.299722,10.430278,113.0069642,129,106.2272704,0.510611875,0.644,0.558280135,6.779693793,-1.465539953,-0.047668261,-0.497071265
137,42.76956471,34.32,43.26663597,288.476705,249,289.9323006,44.99694,11.07083,104.6058619,75,94.86728886,0.361395387,0.4462,0.363926181,9.738572996,-1.455595613,-0.002530795,-0.497071265
194,42.73000851,23.4,43.22707978,288.476705,276,289.9323006,45.6725,12.238611,104.6156313,108,94.7927681,0.376774458,0.2928,0.385440036,9.822863247,-1.455595613,-0.008665579,-0.497071265
509,35.09872466,20.23,35.59908587,288.9384745,288,290.3802249,55.93783569,23.30802727,121.0510244,145,118.7352081,0.320718962,0.3586,0.357072417,2.315816324,-1.441750457,-0.036353455,-0.50036121
338,35.09872466,26.87,35.59908587,288.1884397,307,289.6255178,48.167961,17.106244,109.5589213,100,101.3882147,0.460337988,0.428,0.469229282,8.170706602,-1.437078035,-0.008891294,-0.50036121
193,35.09872466,24.37,35.59908587,288.1884397,274,289.6255178,45.6642,8.1598,113.1864062,113,103.8735652,0.460079907,0.5525,0.507836053,9.312841001,-1.437078035,-0.047756146,-0.50036121
12,31.36642653,19.27,31.86711106,288.1884397,246,289.6255178,40.5997,-3.5033,89.57678565,74,87.43654629,0.379302103,0.2267,0.382286396,2.140239363,-1.437078035,-0.002984293,-0.500684528
81,39.43067336,70.87,39.94049729,264.2061102,270,265.6378978,43.3352,5.727365,108.1941156,84,104.3234873,0.46597839,0.3896,0.499601728,3.870628317,-1.431787662,-0.033623338,-0.50982393
429,33.83042375,20.18,34.35489403,264.2061102,194,265.6378978,49.73508453,16.03419685,110.8467055,120,108.1915277,0.507257784,0.596,0.5412314,2.655177797,-1.431787662,-0.033973615,-0.52447028
438,40.13697562,65.56,40.66211874,290.1887623,285,291.6186127,49.94396,6.17591,123.0926912,118,117.7487077,0.467601608,0.6691,0.496213384,5.343983463,-1.429850375,-0.028611777,-0.525143123
138,40.43816531,56.84,40.96330843,292.6016713,297,294.0258266,44.997,6.4694,110.2315697,127,104.8231472,0.460079907,0.451,0.506032944,5.408422493,-1.424155264,-0.045953037,-0.525143123
507,37.73352925,14.51,38.27751258,292.1956325,228,293.6197878,55.725,24.36557,122.6550192,126,119.629271,0.313223244,0.2435,0.349576699,3.025748208,-1.424155264,-0.036353455,-0.543983327
176,34.71668863,43.33,35.26511556,288.6561671,307,290.0657994,45.47833,9.23583,96.37070633,106,93.7774948,0.384448941,0.2311,0.375464846,2.593211528,-1.40963235,0.008984095,-0.548426934
72,41.00810362,27.26,41.56027535,285.8151944,323,287.2166681,43.293137,5.574184,103.396036,72,96.00804541,0.371467046,0.2492,0.377988377,7.387990556,-1.401473726,-0.006521331,-0.552171727
84,37.8065654,17.65,38.36802552,288.1482905,314,289.542912,43.39873,6.075611,104.4351161,107,96.41096179,0.371699927,0.4471,0.378221258,8.024154275,-1.394621488,-0.006521331,-0.561460122
172,77.28324623,36.41,77.85338723,268.8321376,273,270.2062411,45.4512,7.878,96.75717963,112,94.06559555,0.380760575,0.3507,0.389911197,2.691584083,-1.374103538,-0.009150621,-0.570140999
185,36.18505329,21.6,36.76134051,268.6902852,267,270.017181,45.569,8.1876,96.37070633,101,93.62535416,0.354448941,0.3582,0.361853043,2.745352166,-1.326895782,-0.007404102,-0.57628722
188,78.37322073,65.84,78.96333993,290.1887623,291,291.5134851,45.61667,8.75,94.37070633,121,93.62535416,0.354448941,0.3971,0.361853043,0.745352166,-1.324722784,-0.007404102,-0.5901192
165,38.29869047,65.55,38.8949493,285.7236966,274,287.0341754,45.321846,4.770702,96.58643384,105,94.42622223,0.380760575,0.3132,0.386476984,2.160211613,-1.310478804,-0.005716409,-0.596258822
40,38.29869047,29.02,38.8949493,266.4136352,285,267.715976,42.157856,11.908954,105.3375781,121,97.37670877,0.443439974,0.6393,0.472838941,7.960869316,-1.302340848,-0.029398968,-0.596258822
196,32.25283834,19.75,32.85051088,272.8775743,259,274.1451819,45.7132,8.2835,96.37070633,118,93.65425776,0.354448941,0.2818,0.361853043,2.716448568,-1.26760764,-0.007404102,-0.597672543
203,29.15225651,21.16,29.7639686,273.002435,233,274.2700426,45.83611,8.80417,96.37070633,113,93.65425776,0.354448941,0.4233,0.361853043,2.716448568,-1.26760764,-0.007404102,-0.611712087
104,39.86950278,21.3,40.48159077,273.002435,232,274.2700426,43.933475,5.711809,107.4180203,114,102.2346216,0.472857822,0.5527,0.50214216,5.183398749,-1.26760764,-0.029284338,-0.612087985
91,34.68714512,35.31,35.30377322,257.5370994,245,258.7873112,43.55578,5.461232,107.4180203,94,98.43838011,0.472857822,0.4077,0.497728634,8.979640227,-1.250211751,-0.024870812,-0.616628099
101,83.71193559,61.04,84.33983125,288.5975472,264,289.8215642,43.88012,5.362038,107.4180203,97,98.43838011,0.472857822,0.3656,0.497728634,8.979640227,-1.224016942,-0.024870812,-0.627895657
105,83.71193559,74.99,84.33983125,287.1822034,297,288.4003336,43.9426,4.67958,106.8511723,103,97.8715321,0.472857822,0.3953,0.497728634,8.979640227,-1.218130153,-0.024870812,-0.627895657
109,83.71193559,58.04,84.33983125,290.1306578,309,291.3360504,44.06035,5.067413,107.4180203,128,98.82537809,0.466186494,0.3548,0.501746593,8.592642249,-1.205392589,-0.035560099,-0.627895657
164,83.9303753,62.88,84.55827096,286.1501195,281,287.3555121,45.3189,8.4024,106.3707063,109,97.24763518,0.354448941,0.2823,0.361853043,9.123071149,-1.205392589,-0.007404102,-0.627895657
112,37.73352925,47.8,38.38347039,268.2067565,284,269.3917999,44.3818,7.5382,95.10362819,97,93.23858459,0.353783714,0.1727,0.354543176,1.865043598,-1.185043461,-0.000759462,-0.649941137
35,37.73352925,40.02,38.38347039,251.285233,275,252.4351639,42.05134069,0.729555647,103.8740496,98,94.03837728,0.419767738,0.4148,0.439671315,9.835672301,-1.149930898,-0.019903576,-0.649941137
134,37.73352925,17.86,38.38347039,260.8739779,291,262.0065857,44.9089,8.2055,104.9748696,98,95.78797405,0.353783714,0.2904,0.354543176,9.186895562,-1.132607771,-0.000759462,-0.649941137
120,37.73352925,58.87,38.38347039,288.6561671,287,289.7868731,44.7037,8.0333,100.274374,106,94.88719859,0.353783714,0.1727,0.354543176,5.387175394,-1.130705983,-0.000759462,-0.649941137
154,37.64825895,29.42,38.30941733,275.5648599,268,276.687388,45.1763,7.7116,99.02525635,81,92.96156734,0.353783714,0.3523,0.354543176,6.06368901,-1.122528193,-0.000759462,-0.661158382
141,37.64825895,33.08,38.30941733,290.1887623,276,291.2816541,45.0249,7.6491,99.02525635,89,93.63808096,0.283783714,0.2798,0.318472956,5.387175394,-1.092891792,-0.034689242,-0.661158382
144,32.80450411,29.48,33.46707621,264.444624,241,265.5297348,45.0419,7.6259,100.1036282,105,93.86007962,0.283783714,0.2514,0.310219475,6.24354857,-1.085110823,-0.026435761,-0.662572103
181,32.80450411,15.91,33.46707621,275.820419,286,276.8555367,45.5588,8.0564,96.75717963,104,94.04328558,0.400760575,0.2897,0.401882587,2.713894059,-1.035117766,-0.001122012,-0.662572103
135,32.80450411,30.25,33.46707621,273.6649966,278,274.7001143,44.9203,8.6232,99.97486961,76,94.84929864,0.353783714,0.2781,0.354543176,5.125570974,-1.035117766,-0.000759462,-0.662572103
506,84.16115637,26.18,84.83015931,283.9187923,228,284.9531905,55.69,21.17946,120.3748771,115,120.114526,0.311674594,0.2159,0.366308838,0.260351024,-1.034398252,-0.054634244,-0.669002942
501,84.16115637,63.65,84.83015931,289.1887623,271,291.1849026,54.895128,23.986222,122.183617,140,118.1067314,0.314741488,0.2249,0.349576699,4.076885642,-1.996140306,-0.034835212,-0.669002942
498,79.52555134,71.81,80.21731573,289.1887623,297,291.1849026,54.68611145,25.2108345,119.5681129,133,118.5617642,0.314741488,0.4693,0.349576699,1.006348699,-1.996140306,-0.034835212,-0.691764397
499,29.854485,34.03,30.56137697,284.4872631,198,286.4805352,54.71527863,25.28944397,119.5681129,126,118.1416935,0.314741488,0.2286,0.349576699,1.426419377,-1.993272148,-0.034835212,-0.706891965
